,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0242,,,,,,,,,4.25,4.05,0.15,418284,0.07,0.05,0.01,31428,
benchmark_0221,,,,,,,,,3.94,3.78,0.13,417636,0.07,0.04,0.02,31420,
benchmark_0379,,,,,,,,,3.79,3.60,0.15,395780,0.06,0.05,0.01,31436,
benchmark_0356,,,,,,,,,4.23,4.01,0.17,429900,0.06,0.04,0.01,31444,
benchmark_0434,,,,,,,,,3.67,3.50,0.13,396492,0.06,0.04,0.01,31424,
benchmark_0411,,,,,,,,,4.06,3.86,0.17,414796,0.06,0.04,0.01,31416,
benchmark_0110,,,,,,,,,3.94,3.77,0.14,393780,0.07,0.04,0.02,31428,
benchmark_0277,,,,,,,,,3.74,3.58,0.13,393464,0.07,0.05,0.01,31448,
benchmark_0301,,,,,,,,,3.72,3.55,0.13,392704,0.07,0.04,0.02,31420,
benchmark_0291,,,,,,,,,3.90,3.72,0.15,410708,0.07,0.05,0.02,31416,
benchmark_0446,,,,,,,,,3.64,3.46,0.14,391360,0.07,0.05,0.02,31428,
benchmark_0281,,,,,,,,,3.75,3.57,0.14,397968,0.07,0.04,0.02,31448,
benchmark_0425,,,,,,,,,3.94,3.79,0.13,402564,0.07,0.04,0.02,31400,
benchmark_0443,,,,,,,,,3.94,3.78,0.13,404584,0.07,0.05,0.02,31412,
benchmark_0481,,,,,,,,,3.75,3.55,0.14,395192,0.07,0.04,0.02,31440,
benchmark_0269,,,,,,,,,3.83,3.67,0.12,411720,0.07,0.05,0.01,31412,
benchmark_0132,,,,,,,,,3.88,3.71,0.14,400928,0.07,0.05,0.01,31404,
benchmark_0478,,,,,,,,,3.79,3.59,0.17,411320,0.07,0.05,0.01,31400,
benchmark_0173,,,,,,,,,4.08,3.90,0.15,414452,0.06,0.04,0.01,31448,
benchmark_0023,,,,,,,,,4.12,3.91,0.19,431568,0.06,0.04,0.01,31444,
benchmark_0147,,,,,,,,,3.77,3.56,0.15,410856,0.06,0.04,0.01,31416,
benchmark_0237,,,,,,,,,3.70,3.48,0.17,398472,0.06,0.04,0.01,31472,
benchmark_0414,,,,,,,,,3.69,3.53,0.12,399660,0.06,0.04,0.01,31444,
benchmark_0405,,,,,,,,,3.79,3.60,0.15,416664,0.06,0.04,0.01,31480,
benchmark_0279,,,,,,,,,3.89,3.74,0.13,397208,0.06,0.04,0.01,31444,
benchmark_0338,,,,,,,,,3.73,3.53,0.17,412880,0.07,0.05,0.01,31424,
benchmark_0231,,,,,,,,,3.81,3.62,0.15,407120,0.06,0.04,0.01,31428,
benchmark_0418,,,,,,,,,3.61,3.42,0.16,383476,0.06,0.04,0.01,31400,
benchmark_0127,,,,,,,,,3.78,3.62,0.12,406424,0.08,0.05,0.01,31424,
benchmark_0144,,,,,,,,,3.66,3.47,0.14,393956,0.07,0.04,0.02,31440,
benchmark_0324,,,,,,,,,3.84,3.67,0.13,412740,0.07,0.05,0.01,31408,
benchmark_0078,,,,,,,,,3.76,3.58,0.14,401436,0.07,0.05,0.02,31392,
benchmark_0357,,,,,,,,,3.71,3.54,0.13,390820,0.07,0.04,0.02,31420,
benchmark_0045,,,,,,,,,3.93,3.74,0.17,399020,0.06,0.04,0.01,31424,
benchmark_0105,,,,,,,,,3.83,3.60,0.18,412420,0.07,0.05,0.01,31452,
benchmark_0234,,,,,,,,,3.69,3.51,0.15,404516,0.07,0.05,0.01,31420,
benchmark_0329,,,,,,,,,3.77,3.57,0.15,396076,0.06,0.05,0.01,31424,
benchmark_0100,,,,,,,,,3.74,3.55,0.16,407760,0.07,0.05,0.01,31444,
benchmark_0007,,,,,,,,,3.76,3.61,0.12,396940,0.07,0.04,0.01,31452,
benchmark_0348,,,,,,,,,3.97,3.80,0.14,398632,0.07,0.05,0.01,31420,
benchmark_0427,,,,,,,,,4.14,3.98,0.13,422640,0.07,0.04,0.02,31448,
benchmark_0202,,,,,,,,,3.80,3.60,0.17,408476,0.07,0.05,0.01,31448,
benchmark_0148,,,,,,,,,3.92,3.70,0.18,429068,0.07,0.05,0.02,31420,
benchmark_0394,,,,,,,,,3.90,3.74,0.12,404948,0.07,0.05,0.02,31420,
benchmark_0303,,,,,,,,,3.88,3.67,0.16,407344,0.07,0.04,0.02,31400,
benchmark_0458,,,,,,,,,3.77,3.59,0.16,396120,0.06,0.04,0.02,31420,
benchmark_0276,,,,,,,,,3.83,3.66,0.14,402016,0.07,0.05,0.01,31400,
benchmark_0308,,,,,,,,,3.74,3.55,0.15,418144,0.07,0.04,0.02,31400,
benchmark_0295,,,,,,,,,3.98,3.79,0.16,419736,0.07,0.04,0.02,31424,
benchmark_0352,,,,,,,,,3.91,3.69,0.18,402764,0.06,0.04,0.02,31400,
benchmark_0119,,,,,,,,,3.87,3.67,0.16,409740,0.06,0.04,0.01,31404,
benchmark_0211,,,,,,,,,4.09,3.90,0.15,428660,0.06,0.04,0.02,31432,
benchmark_0438,,,,,,,,,3.84,3.64,0.17,414532,0.07,0.05,0.02,31448,
benchmark_0026,,,,,,,,,3.72,3.49,0.18,393052,0.06,0.04,0.01,31424,
benchmark_0210,,,,,,,,,3.95,3.77,0.14,400844,0.07,0.05,0.01,31420,
benchmark_0266,,,,,,,,,3.93,3.76,0.14,410080,0.07,0.05,0.01,31452,
benchmark_0339,,,,,,,,,3.95,3.78,0.13,401096,0.07,0.05,0.01,31452,
benchmark_0077,,,,,,,,,4.03,3.84,0.16,395764,0.07,0.05,0.01,31424,
benchmark_0476,,,,,,,,,3.79,3.62,0.16,396064,0.07,0.05,0.01,31388,
benchmark_0130,,,,,,,,,3.88,3.70,0.15,394456,0.07,0.05,0.01,31428,
benchmark_0433,,,,,,,,,4.07,3.86,0.17,412092,0.07,0.04,0.02,31420,
benchmark_0241,,,,,,,,,3.68,3.48,0.17,401852,0.07,0.05,0.01,31400,
benchmark_0395,,,,,,,,,3.84,3.68,0.12,407212,0.07,0.04,0.02,31424,
