,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0468,,,,,,,,,11.84,11.54,0.22,718384,0.09,0.05,0.02,31420,
benchmark_0305,,,,,,,,,11.54,11.26,0.24,720072,0.10,0.06,0.02,31356,
benchmark_0320,,,,,,,,,11.81,11.52,0.25,699408,0.10,0.05,0.02,31364,
benchmark_0474,,,,,,,,,11.42,11.16,0.21,712740,0.08,0.06,0.01,31276,
benchmark_0141,,,,,,,,,16.56,16.25,0.24,695796,0.10,0.06,0.02,31348,
benchmark_0254,,,,,,,,,12.12,11.77,0.26,724260,0.09,0.06,0.02,31284,
benchmark_0272,,,,,,,,,11.65,11.32,0.26,722192,0.09,0.05,0.02,31356,
benchmark_0080,,,,,,,,,11.61,11.30,0.24,707016,0.09,0.05,0.02,31364,
benchmark_0031,,,,,,,,,11.94,11.58,0.27,706800,0.09,0.06,0.01,31336,
benchmark_0168,,,,,,,,,11.94,11.63,0.24,700780,0.10,0.05,0.02,31352,
benchmark_0072,,,,,,,,,11.78,11.42,0.29,715620,0.09,0.06,0.01,31384,
benchmark_0440,,,,,,,,,11.70,11.36,0.25,724528,0.08,0.06,0.01,31328,
benchmark_0163,,,,,,,,,8.45,8.07,0.22,680484,0.10,0.06,0.01,31344,
benchmark_0070,,,,,,,,,11.93,11.47,0.24,727596,0.09,0.06,0.02,31368,
benchmark_0398,,,,,,,,,12.08,11.78,0.23,708052,0.09,0.06,0.01,31448,
benchmark_0213,,,,,,,,,11.71,11.38,0.23,704720,0.09,0.05,0.02,31396,
benchmark_0493,,,,,,,,,12.08,11.43,0.25,718052,0.10,0.06,0.02,31356,
benchmark_0393,,,,,,,,,11.69,11.33,0.26,706512,0.10,0.06,0.01,31352,
benchmark_0013,,,,,,,,,11.66,11.33,0.23,712148,0.09,0.06,0.02,31324,
benchmark_0464,,,,,,,,,12.52,11.22,0.26,702032,0.09,0.06,0.02,31500,
benchmark_0003,,,,,,,,,7.50,6.65,0.22,680716,0.09,0.06,0.01,31340,
benchmark_0275,,,,,,,,,11.93,11.55,0.26,720864,0.10,0.06,0.02,31368,
benchmark_0129,,,,,,,,,12.04,11.67,0.27,718232,0.09,0.05,0.02,31368,
benchmark_0309,,,,,,,,,20.47,20.09,0.28,730540,0.09,0.05,0.02,31328,
benchmark_0436,,,,,,,,,18.55,18.15,0.29,701328,0.08,0.05,0.02,31340,
benchmark_0248,,,,,,,,,8.48,8.18,0.20,681032,0.09,0.05,0.01,31332,
benchmark_0388,,,,,,,,,12.74,11.79,0.25,705340,0.09,0.05,0.02,31288,
benchmark_0201,,,,,,,,,15.04,14.69,0.24,705500,0.09,0.05,0.02,31340,
benchmark_0235,,,,,,,,,12.15,11.33,0.26,711396,0.09,0.05,0.02,31304,
benchmark_0499,,,,,,,,,,,,,0.08,0.05,0.01,31412,
benchmark_0451,,,,,,,,,12.72,12.01,0.28,708308,0.11,0.06,0.01,31284,
benchmark_0378,,,,,,,,,9.09,8.28,0.20,678220,0.09,0.05,0.02,31344,
