bench,bass_time,cvc5_time,ostrich_time,z3_time
instance02808.smt2,0.54,0.03,1.75,0.06
instance02812.smt2,0.53,0.03,2.02,0.07
instance02813.smt2,0.54,0.03,1.95,0.06
instance02814.smt2,0.59,0.04,1.89,0.07
instance02816.smt2,0.57,0.03,1.93,0.07
instance02824.smt2,0.55,0.04,1.74,0.06
instance02844.smt2,0.61,0.03,1.87,0.06
instance02845.smt2,0.6,0.03,1.99,0.07
instance02859.smt2,0.5,0.03,1.95,0.05
instance02868.smt2,0.61,0.02,1.99,0.06
instance02869.smt2,0.6,0.05,1.97,0.07
instance02873.smt2,0.57,0.03,1.93,0.06
instance02876.smt2,0.55,0.04,1.91,0.05
instance02888.smt2,0.59,0.03,1.88,0.06
instance02890.smt2,0.57,0.03,1.92,0.06
instance02891.smt2,0.62,0.03,1.91,0.08
instance02892.smt2,0.51,0.02,1.69,0.06
instance02899.smt2,0.53,0.02,1.73,0.07
instance02912.smt2,0.53,0.03,1.95,0.06
instance02918.smt2,0.54,0.02,1.8,0.07
instance02920.smt2,0.5,0.03,1.76,0.07
instance02929.smt2,0.58,0.03,1.99,0.07
instance02934.smt2,0.58,0.03,2.0,0.05
instance02943.smt2,0.59,0.04,1.88,0.08
instance02954.smt2,0.55,0.04,1.92,0.07
instance02955.smt2,0.56,0.03,1.87,0.06
instance02957.smt2,0.55,0.04,1.9,0.06
instance02971.smt2,0.54,0.03,1.95,0.07
instance02978.smt2,0.55,0.03,1.91,0.06
instance02987.smt2,0.45,0.03,1.9,0.06
instance02997.smt2,0.52,0.03,1.58,0.06
instance03001.smt2,0.5,0.04,1.74,0.06
instance03007.smt2,0.54,0.05,1.66,0.06
instance03043.smt2,0.53,0.08,1.87,0.07
instance03062.smt2,0.54,0.04,1.88,0.06
instance03094.smt2,0.57,0.02,2.05,0.06
instance03097.smt2,0.51,0.03,1.97,0.08
instance03098.smt2,0.49,0.02,1.82,0.08
instance03108.smt2,0.58,0.03,1.88,0.06
instance03116.smt2,0.6,0.03,1.9,0.07
instance03127.smt2,0.56,0.03,1.82,0.09
instance03133.smt2,0.58,0.04,1.78,0.05
instance03136.smt2,0.51,0.03,1.95,0.06
instance03142.smt2,0.49,0.04,1.59,0.06
instance03148.smt2,0.48,0.04,1.88,0.06
instance03153.smt2,0.65,0.03,1.81,0.07
instance03161.smt2,0.61,0.04,1.99,0.06
instance03163.smt2,0.58,0.04,1.79,0.06
instance03197.smt2,0.63,0.02,1.85,0.07
instance03200.smt2,0.65,0.04,1.87,0.06
instance03203.smt2,0.65,0.04,1.9,0.06
instance03216.smt2,0.63,0.04,1.79,0.06
instance03227.smt2,0.6,0.03,1.96,0.06
instance03232.smt2,0.58,0.03,1.94,0.06
instance03234.smt2,0.6,0.04,2.06,0.06
instance03235.smt2,0.64,0.03,1.76,0.06
instance03246.smt2,0.61,0.02,2.03,0.05
instance03264.smt2,0.61,0.07,1.85,0.06
instance03270.smt2,0.62,0.04,1.9,0.06
instance03276.smt2,0.6,0.02,1.99,0.07
instance03294.smt2,0.63,0.03,1.77,0.07
instance03304.smt2,0.59,0.03,1.81,0.07
instance03309.smt2,0.61,0.03,1.83,0.06
instance03316.smt2,0.54,0.04,1.9,0.07
instance03317.smt2,0.58,0.04,1.74,0.06
instance03329.smt2,0.54,0.02,1.87,0.05
instance03331.smt2,0.57,0.03,1.84,0.05
instance03338.smt2,0.58,0.04,1.83,0.06
instance03342.smt2,0.53,0.03,1.82,0.06
instance03347.smt2,0.6,0.04,1.8,0.08
instance03366.smt2,0.59,0.04,1.93,0.07
instance03370.smt2,0.62,0.05,1.86,0.06
instance03372.smt2,0.63,0.05,1.61,0.05
instance03374.smt2,0.63,0.06,1.81,0.06
instance03382.smt2,0.58,0.04,1.81,0.06
instance03399.smt2,0.58,0.02,1.96,0.06
instance03405.smt2,0.51,0.03,1.79,0.06
instance03413.smt2,0.54,0.03,2.03,0.06
instance03416.smt2,0.55,0.04,1.82,0.07
instance03431.smt2,0.53,0.03,1.9,0.06
instance03433.smt2,0.54,0.02,1.85,0.06
instance03435.smt2,0.54,0.03,1.85,0.06
instance03441.smt2,0.57,0.03,1.96,0.06
instance03444.smt2,0.53,0.03,1.85,0.05
instance03459.smt2,0.57,0.03,2.0,0.06
instance03465.smt2,0.55,0.02,1.83,0.06
instance03473.smt2,0.54,0.03,1.83,0.06
instance03495.smt2,0.63,0.04,1.97,0.06
instance03522.smt2,0.57,0.02,1.95,0.06
instance03542.smt2,0.49,0.03,1.81,0.06
instance03545.smt2,0.6,0.03,1.76,0.08
instance03547.smt2,0.53,0.02,1.74,0.06
instance03552.smt2,0.58,0.05,2.14,0.07
instance03554.smt2,0.5,0.04,1.82,0.07
instance03556.smt2,0.55,0.02,1.81,0.06
instance03557.smt2,0.51,0.04,1.92,0.06
instance03559.smt2,0.53,0.03,1.77,0.06
instance03561.smt2,0.53,0.04,2.08,0.05
instance03565.smt2,0.66,0.05,1.97,0.06
instance03575.smt2,0.61,0.04,1.77,0.06
instance03576.smt2,0.52,0.03,2.02,0.05
instance03578.smt2,0.54,0.04,1.82,0.06
instance03594.smt2,0.53,0.05,1.81,0.07
instance03598.smt2,0.57,0.03,1.95,0.07
instance03614.smt2,0.57,0.02,1.87,0.07
instance03623.smt2,0.59,0.03,1.88,0.06
instance03653.smt2,0.71,0.02,1.9,0.06
instance03661.smt2,0.68,0.02,1.85,0.06
instance03670.smt2,0.71,0.02,1.59,0.06
instance03671.smt2,0.58,0.03,1.92,0.07
instance03673.smt2,0.59,0.04,1.94,0.07
instance03677.smt2,0.55,0.03,1.98,0.07
instance03683.smt2,0.56,0.02,1.79,0.05
instance03692.smt2,0.56,0.03,1.65,0.07
instance03715.smt2,0.5,0.02,2.01,0.07
instance03717.smt2,0.47,0.02,1.94,0.07
instance03726.smt2,0.48,0.02,1.89,0.06
instance03730.smt2,0.52,0.03,2.07,0.06
instance03763.smt2,0.49,0.03,2.0,0.05
instance03766.smt2,0.49,0.04,1.64,0.06
instance03772.smt2,0.56,0.03,2.03,0.06
instance03781.smt2,0.47,0.03,1.76,0.06
instance03791.smt2,0.65,0.04,1.97,0.06
instance03800.smt2,0.49,0.02,1.91,0.06
instance03808.smt2,0.53,0.03,1.93,0.06
instance03844.smt2,0.46,0.04,1.92,0.06
instance03846.smt2,0.55,0.02,1.83,0.05
instance03859.smt2,0.62,0.03,1.97,0.07
instance03880.smt2,0.64,0.03,2.0,0.05
instance03886.smt2,0.54,0.02,1.85,0.07
instance03905.smt2,0.64,0.02,1.99,0.06
instance03906.smt2,0.65,0.02,1.89,0.07
instance03912.smt2,0.63,0.03,1.87,0.1
instance03913.smt2,0.54,0.03,1.93,0.07
instance03914.smt2,0.55,0.02,1.99,0.06
instance03917.smt2,0.55,0.02,1.88,0.05
instance03922.smt2,0.54,0.03,1.86,0.06
instance03930.smt2,0.46,0.03,1.72,0.07
instance03937.smt2,0.58,0.04,1.89,0.06
instance03956.smt2,0.48,0.03,1.89,0.06
instance03961.smt2,0.55,0.03,1.66,0.06
instance03965.smt2,0.52,0.03,1.83,0.08
instance03977.smt2,0.58,0.04,1.8,0.09
instance03982.smt2,0.49,0.03,1.84,0.07
instance03994.smt2,0.57,0.03,1.86,0.09
instance04017.smt2,0.5,0.02,2.0,0.1
instance04030.smt2,0.48,0.04,1.93,0.07
instance04032.smt2,0.5,0.02,1.89,0.08
instance04052.smt2,0.49,0.02,1.88,0.07
instance04059.smt2,0.52,0.03,1.74,0.07
instance04063.smt2,0.47,0.02,1.91,0.07
instance04073.smt2,0.53,0.02,1.92,0.06
instance04077.smt2,0.5,0.02,1.95,0.07
instance04080.smt2,0.57,0.02,1.79,0.07
instance04086.smt2,0.58,0.04,2.0,0.08
instance04090.smt2,0.53,0.03,1.86,0.07
instance04101.smt2,0.48,0.02,1.91,0.07
instance04105.smt2,0.55,0.03,1.85,0.07
instance04110.smt2,0.6,0.05,1.83,0.06
instance04112.smt2,0.6,0.04,1.85,0.09
instance04116.smt2,0.61,0.02,1.87,0.06
instance04129.smt2,0.57,0.04,1.82,0.09
instance04149.smt2,0.61,0.04,1.99,0.07
instance04156.smt2,0.6,0.03,1.9,0.1
instance04159.smt2,0.53,0.04,1.75,0.07
instance04182.smt2,0.62,0.02,2.01,0.1
instance04194.smt2,0.58,0.03,2.04,0.07
instance04213.smt2,0.59,0.02,1.92,0.07
instance04222.smt2,0.48,0.03,1.59,0.09
instance04224.smt2,0.52,0.17,2.06,0.09
instance04225.smt2,0.53,0.02,1.65,0.06
instance04233.smt2,0.51,0.02,1.94,0.07
instance04244.smt2,0.52,0.02,1.69,0.06
instance04246.smt2,0.55,0.04,1.71,0.07
instance04247.smt2,0.54,0.03,1.97,0.07
instance04249.smt2,0.52,0.02,1.87,0.07
instance04254.smt2,0.53,0.02,1.94,0.07
instance04261.smt2,0.51,0.02,1.93,0.08
instance04264.smt2,0.55,0.05,1.93,0.07
instance04266.smt2,0.56,0.03,1.74,0.07
instance04272.smt2,0.61,0.04,2.01,0.06
instance04303.smt2,0.62,0.03,1.94,0.06
instance04329.smt2,0.61,0.04,1.96,0.07
instance04338.smt2,0.6,0.03,1.82,0.05
instance04346.smt2,0.56,0.03,2.1,0.06
instance04364.smt2,0.58,0.02,1.96,0.07
instance04370.smt2,0.51,0.02,2.02,0.06
instance04375.smt2,0.56,0.02,1.84,0.06
instance04388.smt2,0.54,0.02,1.7,0.09
instance04420.smt2,0.62,0.04,1.82,0.05
instance04424.smt2,0.52,0.04,1.88,0.06
instance04427.smt2,0.56,0.03,2.02,0.06
instance04435.smt2,0.59,0.02,1.94,0.06
instance04439.smt2,0.63,0.04,2.03,0.08
instance04447.smt2,0.58,0.02,1.84,0.07
instance04466.smt2,0.57,0.03,1.8,0.08
instance04478.smt2,0.54,0.03,1.82,0.09
