,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
01_track_31,7.69,7.37,0.29,430888,0.04,0.01,0.01,7444,4.06,3.92,0.12,262656,0.05,0.03,0.01,24468,
01_track_32,1.05,0.96,0.07,107836,0.04,0.01,0.00,7860,2.43,2.28,0.13,260572,0.06,0.04,0.01,27736,
01_track_33,,,,,0.04,0.01,0.01,8068,3.40,3.24,0.14,265880,0.06,0.04,0.01,28228,
01_track_34,0.89,0.81,0.06,90264,0.04,0.02,0.00,8012,2.69,2.49,0.17,254028,0.06,0.04,0.01,27708,
01_track_35,,,,,0.07,0.04,0.01,9372,28.08,27.60,0.39,757700,0.06,0.04,0.01,28088,
01_track_36,,,,,0.04,0.02,0.01,8248,,,,,0.07,0.04,0.02,28344,
01_track_37,0.94,0.87,0.07,109524,0.03,0.01,0.01,7516,22.76,22.33,0.36,764660,0.05,0.03,0.01,24476,
01_track_38,1.97,1.79,0.15,205080,0.04,0.02,0.00,8076,2.83,2.70,0.10,259752,0.06,0.05,0.00,28116,
01_track_39,,,,,0.04,0.02,0.00,7964,63.85,62.97,0.72,814728,0.06,0.04,0.01,27956,
01_track_4,0.59,0.53,0.04,64620,0.03,0.01,0.01,7708,2.08,1.99,0.08,215632,0.05,0.04,0.01,27252,
01_track_40,1.62,1.50,0.10,163116,0.04,0.02,0.00,7884,3.28,3.13,0.12,284892,0.06,0.04,0.01,27736,
01_track_41,,,,,0.04,0.01,0.00,7296,23.87,23.29,0.52,738320,0.05,0.03,0.01,24472,
01_track_42,,,,,,,,,5.56,5.36,0.17,449932,0.06,0.05,0.01,29140,
01_track_43,,,,,,,,,30.21,29.46,0.66,768324,0.10,0.08,0.01,33832,
01_track_44,0.49,0.45,0.03,67208,0.02,0.01,0.00,6320,1.41,1.29,0.11,177920,0.05,0.03,0.01,24444,
01_track_45,1.07,1.01,0.04,128428,0.04,0.02,0.00,7464,30.15,29.25,0.81,827420,0.05,0.03,0.01,24476,
01_track_46,,,,,0.05,0.02,0.00,8112,10.19,9.90,0.25,706416,0.06,0.04,0.01,27804,
01_track_47,3.33,3.19,0.12,476324,0.05,0.02,0.01,8068,2.63,2.50,0.12,252844,0.06,0.04,0.02,28172,
01_track_48,0.58,0.53,0.04,68328,0.04,0.01,0.01,7424,2.39,2.27,0.10,219588,0.05,0.03,0.01,24468,
01_track_49,0.82,0.77,0.03,84716,0.04,0.01,0.00,7296,1.62,1.51,0.09,218764,0.05,0.04,0.01,24452,
01_track_5,0.90,0.83,0.05,93340,0.04,0.01,0.01,7516,19.35,19.00,0.30,737372,0.05,0.04,0.01,24476,
01_track_50,0.50,0.45,0.03,67404,,,,,,,,,0.15,0.12,0.02,49428,
01_track_51,1.23,1.16,0.06,121820,0.03,0.01,0.00,7516,24.06,23.59,0.40,749216,0.05,0.03,0.01,24476,
01_track_52,1.70,1.60,0.08,165404,0.04,0.01,0.00,7300,1.74,1.64,0.08,213364,0.04,0.03,0.01,24464,
01_track_53,,,,,0.08,0.06,0.00,10196,4.57,4.36,0.18,399680,0.06,0.04,0.01,28392,
01_track_54,,,,,0.04,0.02,0.00,7952,23.68,23.26,0.35,760548,0.06,0.03,0.02,28112,
01_track_55,,,,,0.04,0.02,0.01,8184,5.14,4.93,0.19,479644,0.14,0.09,0.05,39132,
01_track_56,1.73,1.62,0.08,208716,0.03,0.02,0.00,7916,3.27,3.11,0.14,279880,0.06,0.04,0.01,27828,
01_track_57,1.21,1.12,0.07,167308,0.04,0.01,0.01,7516,10.36,9.99,0.33,723772,0.05,0.04,0.01,24480,
01_track_58,1.67,1.60,0.06,149660,0.05,0.01,0.01,7856,4.12,3.97,0.13,343668,0.06,0.05,0.01,27864,
01_track_59,,,,,0.05,0.02,0.00,8308,5.10,4.91,0.15,325932,0.06,0.04,0.01,27916,
01_track_6,,,,,0.06,0.03,0.00,9072,5.37,5.15,0.19,483292,0.06,0.05,0.01,28824,
01_track_60,,,,,0.05,0.02,0.01,8280,2.73,2.61,0.11,250488,0.07,0.04,0.01,27852,
01_track_61,1.20,1.13,0.05,142412,0.04,0.01,0.00,7284,2.09,1.97,0.10,250232,0.05,0.04,0.00,24456,
01_track_62,0.77,0.71,0.04,98532,0.04,0.01,0.00,7292,1.61,1.51,0.08,213372,0.05,0.03,0.02,24468,
01_track_63,1.74,1.65,0.07,195548,0.04,0.02,0.00,7932,3.97,3.80,0.15,347076,0.06,0.04,0.01,27996,
01_track_64,,,,,0.05,0.02,0.00,8256,59.85,59.16,0.54,766252,0.06,0.04,0.01,27740,
01_track_65,1.71,1.63,0.06,175864,0.05,0.01,0.01,7920,3.23,3.08,0.13,277876,0.06,0.03,0.02,27768,
01_track_66,0.69,0.64,0.04,81664,0.04,0.01,0.00,7840,6.60,6.38,0.18,470260,0.05,0.03,0.01,27696,
01_track_67,5.09,4.89,0.14,489564,0.04,0.02,0.00,7964,7.28,6.99,0.27,712932,0.06,0.04,0.01,28052,
01_track_68,,,,,0.03,0.01,0.00,7284,10.26,9.88,0.34,707312,0.05,0.04,0.01,24468,
